run,signal,frequency_ghz,power
Bx,mx,365.71529962787685,3.3773871501490204e-17
Bx,mx,367.7584018604348,1.5971742440431635e-18
Bx,mx,369.8015040929928,1.2170846831720297e-17
Bx,mx,371.8446063255507,1.374875098373979e-17
Bx,mx,373.8877085581087,7.577816844943225e-18
Bx,mx,375.9308107906667,5.912436481279431e-18
Bx,mx,377.9739130232246,1.1171779702390547e-18
Bx,mx,380.0170152557826,1.3302282568691914e-17
Bx,mx,382.0601174883406,9.036402139109165e-18
Bx,mx,384.1032197208986,5.84377483669075e-18
Bx,mx,386.14632195345655,1.2795095351258144e-17
Bx,mx,388.1894241860145,1.2811908861938266e-17
Bx,mx,390.2325264185725,1.1339860608369446e-17
Bx,mx,392.27562865113043,4.213319389183756e-18
Bx,mx,394.31873088368843,3.1714774289028446e-17
Bx,mx,396.36183311624643,5.960780254064305e-17
Bx,mx,398.4049353488044,4.048115089755469e-18
Bx,mx,400.4480375813623,9.212591500556603e-18
Bx,mx,402.4911398139203,1.1916367736084994e-16
Bx,mx,404.5342420464783,6.718546058885544e-16
Bx,mx,406.57734427903625,4.702742381791479e-15
Bx,mx,408.6204465115942,1.0055055808919209e-14
Bx,mx,410.6635487441522,2.606548498786246e-15
Bx,mx,412.7066509767102,4.5263624872209016e-17
Bx,mx,414.74975320926814,2.420661778197241e-17
Bx,mx,416.79285544182613,8.637118353534611e-17
Bx,mx,418.8359576743841,6.56221923307831e-17
Bx,mx,420.879059906942,7.405047307004604e-18
Bx,mx,422.9221621395,2.8875246280243043e-18
Bx,mx,424.965264372058,1.1341168639106277e-18
Bx,mx,427.008366604616,1.062435872056002e-18
Bx,mx,429.0514688371739,2.2331369812592648e-17
Bx,mx,431.0945710697319,1.1266302336976823e-17
Bx,mx,433.1376733022899,3.225498996963206e-19
Bx,mx,435.18077553484784,1.7419138733957597e-17
Bx,mx,437.22387776740584,3.660793945021017e-17
Bx,mx,439.2669799999638,8.325877856541757e-18
Bx,mx,441.3100822325218,1.2962800914323755e-17
Bx,mx,443.3531844650797,9.266146469713529e-19
Bx,mx,445.3962866976377,3.522210404030351e-18
Bx,mx,447.4393889301957,5.999293081756858e-18
Bx,mx,449.4824911627536,1.0052130846792911e-18
Bx,mx,451.5255933953116,3.632152980859456e-18
Bx,mx,453.5686956278696,4.0844653647763664e-18
Bx,mx,455.6117978604276,2.1683334989154222e-18
Bx,mx,457.6549000929855,1.5481331007223512e-18
Bx,mx,459.6980023255435,6.1890836251354886e-18
Bx,mx,461.7411045581015,2.1501072562110395e-17
Bx,mx,463.7842067906594,2.5422897979922937e-18
Bx,mx,465.8273090232174,1.7924316184254818e-18
Bx,mx,467.87041125577537,3.778713186262827e-18
Bx,mx,469.91351348833336,4.009085983169886e-18
Bx,mx,471.9566157208913,5.367871443512588e-19
Bx,mx,473.9997179534493,3.8719347985273875e-19
Bx,mx,476.0428201860073,1.5208435260876087e-18
Bx,mx,478.0859224185652,3.985616849364177e-18
Bx,mx,480.1290246511232,1.1376708881991994e-18
Bx,mx,482.1721268836812,2.163069874555608e-18
